,Day,[Arbok] Job Size: Per Job (Core Count),[Ninetales] Job Size: Per Job (Core Count),[Zubat] Job Size: Per Job (Core Count),[Golduck] Job Size: Per Job (Core Count),[Pidgey] Job Size: Per Job (Core Count),[Sandshrew] Job Size: Per Job (Core Count),[Nidoking] Job Size: Per Job (Core Count),[Golbat] Job Size: Per Job (Core Count),[Oddish] Job Size: Per Job (Core Count),[Jigglypuff] Job Size: Per Job (Core Count),[Weedle] Job Size: Per Job (Core Count),[Ivysaur] Job Size: Per Job (Core Count),[Metapod] Job Size: Per Job (Core Count),[Wartortle] Job Size: Per Job (Core Count),[Nidorina] Job Size: Per Job (Core Count),[Dugtrio] Job Size: Per Job (Core Count),[Raichu] Job Size: Per Job (Core Count),[Nidorino] Job Size: Per Job (Core Count),[Butterfree] Job Size: Per Job (Core Count),[Venusaur] Job Size: Per Job (Core Count),[Pidgeotto] Job Size: Per Job (Core Count),[Fearow] Job Size: Per Job (Core Count),[Mankey] Job Size: Per Job (Core Count),[Persian] Job Size: Per Job (Core Count),[Venonat] Job Size: Per Job (Core Count),[Spearow] Job Size: Per Job (Core Count),[Primeape] Job Size: Per Job (Core Count),[Bulbasaur] Job Size: Per Job (Core Count),[Caterpie] Job Size: Per Job (Core Count),[Blastoise] Job Size: Per Job (Core Count),[Rattata] Job Size: Per Job (Core Count),[Pikachu] Job Size: Per Job (Core Count),[Sandslash] Job Size: Per Job (Core Count),[Wigglytuff] Job Size: Per Job (Core Count),[Squirtle] Job Size: Per Job (Core Count),[Meowth] Job Size: Per Job (Core Count),[Paras] Job Size: Per Job (Core Count),[Ekans] Job Size: Per Job (Core Count),[Vileplume] Job Size: Per Job (Core Count),[Clefable] Job Size: Per Job (Core Count),[Diglett] Job Size: Per Job (Core Count),[Vulpix] Job Size: Per Job (Core Count),[Raticate] Job Size: Per Job (Core Count),[Charmeleon] Job Size: Per Job (Core Count),[Kakuna] Job Size: Per Job (Core Count),[Pidgeot] Job Size: Per Job (Core Count),[Charizard] Job Size: Per Job (Core Count),[Beedrill] Job Size: Per Job (Core Count),[Charmander] Job Size: Per Job (Core Count),[Gloom] Job Size: Per Job (Core Count),[Parasect] Job Size: Per Job (Core Count),[Clefairy] Job Size: Per Job (Core Count),[Nidoqueen] Job Size: Per Job (Core Count),[Venomoth] Job Size: Per Job (Core Count),[Psyduck] Job Size: Per Job (Core Count)
0,1.4984352e+18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1.4985216e+18,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,1.498608e+18,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.4986944e+18,3.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.4987808e+18,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,1.4988672e+18,3.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,1.4989536e+18,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,1.49904e+18,0.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,1.4991264e+18,1.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,1.4992128e+18,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
